user_id,item_id,rating,timestamp
138,514,3,01-01-2023 00:00
128,510,5,01-01-2023 00:05
114,507,3,01-01-2023 00:10
142,506,5,01-01-2023 00:15
107,518,2,01-01-2023 00:20
120,510,3,01-01-2023 00:25
138,510,3,01-01-2023 00:30
118,503,5,01-01-2023 00:35
122,517,4,01-01-2023 00:40
110,502,3,01-01-2023 00:45
913,514,2,01-01-2023 00:50
978,510,5,01-01-2023 00:55
947,507,1,01-01-2023 01:00
482,506,5,01-01-2023 01:05
676,518,5,01-01-2023 01:10
919,510,2,01-01-2023 01:15
867,510,1,01-01-2023 01:20
241,503,2,01-01-2023 01:25
406,517,3,01-01-2023 01:30
263,502,1,01-01-2023 01:35
602,514,4,01-01-2023 01:40
422,510,1,01-01-2023 01:45
806,507,3,01-01-2023 01:50
596,506,5,01-01-2023 01:55
417,518,4,01-01-2023 02:00
585,510,2,01-01-2023 02:05
152,510,5,01-01-2023 02:10
419,503,1,01-01-2023 02:15
210,517,2,01-01-2023 02:20
953,502,3,01-01-2023 02:25
239,514,5,01-01-2023 02:30
426,510,3,01-01-2023 02:35
588,507,4,01-01-2023 02:40
738,506,5,01-01-2023 02:45
571,518,1,01-01-2023 02:50
193,510,5,01-01-2023 02:55
327,510,5,01-01-2023 03:00
555,503,3,01-01-2023 03:05
633,517,4,01-01-2023 03:10
928,502,3,01-01-2023 03:15
512,514,5,01-01-2023 03:20
325,510,5,01-01-2023 03:25
516,507,5,01-01-2023 03:30
826,506,3,01-01-2023 03:35
343,518,1,01-01-2023 03:40
110,510,5,01-01-2023 03:45
516,510,2,01-01-2023 03:50
643,503,2,01-01-2023 03:55
393,517,3,01-01-2023 04:00
210,502,2,01-01-2023 04:05
416,514,5,01-01-2023 04:10
279,510,1,01-01-2023 04:15
348,507,5,01-01-2023 04:20
161,506,5,01-01-2023 04:25
308,518,1,01-01-2023 04:30
616,510,3,01-01-2023 04:35
144,510,2,01-01-2023 04:40
943,503,3,01-01-2023 04:45
944,517,4,01-01-2023 04:50
626,502,3,01-01-2023 04:55
947,514,5,01-01-2023 05:00
144,510,4,01-01-2023 05:05
622,507,1,01-01-2023 05:10
759,506,2,01-01-2023 05:15
186,518,3,01-01-2023 05:20
389,510,5,01-01-2023 05:25
362,510,2,01-01-2023 05:30
888,503,3,01-01-2023 05:35
162,517,4,01-01-2023 05:40
992,502,1,01-01-2023 05:45
170,514,2,01-01-2023 05:50
544,510,4,01-01-2023 05:55
463,507,2,01-01-2023 06:00
463,506,1,01-01-2023 06:05
261,518,4,01-01-2023 06:10
668,510,1,01-01-2023 06:15
871,510,3,01-01-2023 06:20
661,503,1,01-01-2023 06:25
650,517,5,01-01-2023 06:30
321,502,3,01-01-2023 06:35
357,514,1,01-01-2023 06:40
886,510,2,01-01-2023 06:45
562,507,3,01-01-2023 06:50
791,506,4,01-01-2023 06:55
889,518,1,01-01-2023 07:00
298,510,1,01-01-2023 07:05
610,510,5,01-01-2023 07:10
191,503,3,01-01-2023 07:15
945,517,1,01-01-2023 07:20
436,502,3,01-01-2023 07:25
374,514,4,01-01-2023 07:30
